ucid,docket_text,labels
almd;;1:17-cv-00223,"Partial Filing fee: $ 31.36, receipt number 4602045594 (dmn, ) (Entered: 06/09/2017)",
almd;;2:17-cv-00612,"ORDER granting in part 9 Unopposed Rule 21 Motion to Add and Drop Parties; directing the Clerk to terminate Dft Caroline's Country Store, add Dft Caroline's Country Store, LLC and update the docket accordingly; further ORDERED the parties shall use the above caption for all future pleadings. Signed by Honorable Judge David A. Baker on 11/15/2017. (wcl, ) (Entered: 11/15/2017)",order
almd;;3:17-cr-00481,"MOTION to Continue by Marquavious Tirrell Howard. (Attachments: # 1 Exhibit Waiver of Right to a Speedy Trial)(Smith, Aimee) (Entered: 02/05/2018)",motion|motion to continue
almd;;3:17-cr-00004,"REPORT AND RECOMMENDATION as to Clayton Eugene Powell, Jack Webb, Jr re 35 and 38 MOTIONS to Suppress. Objections to R&R due by 7/12/2017. Signed by Honorable Judge Charles S. Coody on 6/28/17. (ajr, ) (Entered: 06/28/2017)",report
alnd;;2:16-cv-01042,"SUMMONS Returned Executed; Stanley Small served on 7/6/2016, answer due 7/27/2016. (YMB) (Entered: 07/08/2016)",summons
alnd;;3:16-cv-00539,"MOTION to Approve Consent Judgment , MOTION for Disbursement of Funds by Tennessee Valley Authority. (Attachments: # 1 proposed consent Judgment and Order Disbursing Funds)(Birdwell, Elizabeth) (Entered: 05/17/2016)",bilateral|motion|motion for disbursement of funds|motion for judgment|party provided judgment resolution|party provided judgment resolution2
alnd;;4:17-cv-00864,"ANSWER to Writ of Garnishment by Scottsdale Insurance Company. (Shreve, William) (Entered: 05/25/2017)",answer
alnd;;5:17-cv-00264,"COMPLAINT against Sammy Becdach, Clearview Cancer Institute, Jeremy K Hon, John Waples, filed by Charis K Rogers.(KAM, ) (Entered: 02/22/2017)",complaint
alnd;;7:16-cv-01925,TEXT ORDER granting 20 Motion to Withdraw as Attorney. Attorney Uchenna Ekuma-Nkama terminated. Signed by Judge L Scott Coogler on 3/13/17. (SMD) (Entered: 03/13/2017),order
alnd;;2:16-cv-00508,"NOTICE of Appearance by Kathleen Taylor Sooy on behalf of Blue Cross Blue Shield of Arizona, Blue Cross Blue Shield of Wyoming, Blue Cross and Blue Shield of Kansas City, Blue Cross and Blue Shield of Kansas Inc, Blue Cross and Blue Shield of Nebraska, Blue Cross of Idaho Health Service Inc, HealthNow New York Inc, Noridian Mutual Insurance Company (Sooy, Kathleen) (Entered: 05/09/2016)",notice|notice of appearance
alnd;;2:16-cv-00343,"NOTICE by United States of America Notice of Filing Complaint for Forfeiture to Johnny Ray Cole, Jr., c/o Randy Dempsey, Esq. (Borton, Thomas) (Entered: 03/01/2016)",notice|notice of filing
alnd;;5:16-cv-01876,"NOTICE REGARDING CONSENT (MRR, ) (Entered: 11/22/2016)",bilateral|notice|notice of consent
alnd;;6:16-cr-00406,"PLEA AGREEMENT as to Chadwick Mitchell Baxter (PSM) (DWC, ). (Entered: 05/02/2017)",plea agreement
alnd;;3:17-cr-00424,"SCHEDULING ORDER and NOTICE that certain deadlines and instructions apply as set out as to Douglas Walton Dobbs, Jr. Signed by Magistrate Judge Herman N Johnson, Jr on 10/13/17. (SHB, ) (Entered: 10/13/2017)",notice|order
alnd;;5:16-cr-00079,"NOTICE OF ATTORNEY APPEARANCE: Deanna L Oswald appearing for Demearius Lamar Horton (Oswald, Deanna) (Entered: 04/13/2016)",notice|notice of appearance
alsd;;1:17-cv-00047,"RULE 16(b) SCHEDULING ORDER: Pretrial Conference set for 2/20/2018 at 10:00 AM in US Courthouse, Judge's Chambers, 113 St. Joseph Street, Mobile, AL 36602 before Senior Judge Callie V. S. Granade. Motion to amend pleadings due by 6/16/2017. Discovery cutoff 10/13/2017. Dispositive Motions due by 11/3/2017. Bench Trial set for the March 2018 trial term in US Courthouse, Courtroom 2B, 113 St. Joseph Street, Mobile, AL 36602 before Senior Judge Callie V. S. Granade. ETT 1-2 days. Joint Position Regarding Settlement due by 10/13/2017. Signed by Magistrate Judge Bert W. Milling, Jr. on 4/7/2017. (Attachment: # 1 Judge Granade's Standing Pretrial Order) (mab) Pattern Jury Instruction Builder - To access the latest, up to date changes to the 11th Circuit Pattern Jury Instructions go to https://pji.ca11.uscourts.gov or click here. (Entered: 04/07/2017)",order
alsd;;1:16-cv-00412,"Joint MOTION for Protective Order by HoJo Group, LLC. (Attachments: # 1 Text of Proposed Order) (Willis, Kathryn) (Entered: 10/07/2016)",bilateral|motion|motion for protective order
alsd;;1:17-cv-00187,"Partial Filing Fee: $89.00, Receipt No. 46031046665. (tot) (Entered: 04/11/2018)",
alsd;;1:17-cv-00481,REFERRAL OF 18 Report of Rule 26(f) Planning Meeting to Judge Milling. (tgw) (Entered: 01/23/2018),
alsd;;1:16-cv-00134,"Return of Service, Attorney General of the United States served 4/20/16. (tot) (Entered: 04/26/2016)",
alsd;;1:16-cv-00495,REFERRAL OF 10 Social Security Brief - Defendant and 9 Social Security Brief - Plaintiff to Judge Cassady. (srd) (Entered: 03/01/2017),
alsd;;1:17-cr-00088,Minute Entry for proceedings held before Magistrate Judge Sonja F. Bivins:Pretrial Conference as to Brian Thomas Damanis held on 6/13/2017 - Deft set to plea - order to follow. DCR Digital Audio Recording. (mpp) (Entered: 06/20/2017),minute entry
alsd;;1:16-cr-00074,"PLEA AGREEMENT as to Richard G. Emge without factual resume (Jordan, Joe) (Entered: 08/02/2016)",plea agreement
ared;;3:17-cv-00062,"CERTIFICATE OF SERVICE by Ellen Mays, Robert Mays, Sr (Cook, Bryce) (Entered: 12/19/2017)",
ared;;2:17-cv-00203,(This is a TEXT ENTRY ONLY. There is no pdf document associated with this entry.) ORDER granting 6 motion to continue. A revised scheduling order shall issue. Signed by Chief Judge Brian S. Miller on 07/18/2018. (sj) (Entered: 07/18/2018),order
ared;;4:17-cv-00736,Docket Note: Case electronically transferred to Eastern District of Kentucky pursuant to 11 Conditional Transfer Order. (mef) (Entered: 02/15/2018),transfer
ared;;4:16-cv-00347,OPINION AND ORDER granting 7 the United States' motion for summary judgment. The Court will enter judgment accordingly. Signed by Judge Susan Webber Wright on 8/15/2017. (mef) (Entered: 08/15/2017),granting motion for summary judgment|order
ared;;4:16-cv-00510,"MOTION for Leave to Appear pro hac vice by Stephanie K. Goldin. Fee $100 receipt number 0860-2895106. Filed by Lori Hunter (Priebe, Jeffrey) (Entered: 08/04/2016)",motion|motion for leave|motion to appear pro hac vice
ared;;5:17-cv-00212,"JUDGMENT: Consistent with 53 Order, this case is dismissed, with prejudice. Signed by Magistrate Judge Beth Deere on 11/27/2018. (cmn) (Entered: 11/27/2018)",dismiss with prejudice|judgment
ared;;5:17-cv-00039,PETITION for Writ of Habeas Corpus filed by Kiywuan Perry. (ljb) (Entered: 02/15/2017),petition|petition for habeas corpus
ared;;4:16-cv-00577,"NOTICE OF DOCKET CORRECTION re: 4 Answer to Complaint. CORRECTION: The docket entry was modified to correct the party filers as ""all Defendants."" (thd) (Entered: 11/04/2016)",notice|notice of correction
arwd;;1:16-cv-01080,"PRETRIAL DISCLOSURE SHEET by State Farm Mutual Automobile Insurance Company. (Moore, John) (Entered: 09/01/2017)",
arwd;;2:17-cv-02110,CLERK'S ORDER re 15 Joint Motion to Dismiss Case filed by Max Rodriguez. Plaintiff's complaint is hereby dismissed with prejudice.(mjm) (Entered: 10/02/2017),case dismissed|dismiss with prejudice|order|party resolution|settlement order|settlement resolution
arwd;;6:17-cv-06058,"RESPONSE by USA re Remark (2255 Petition). (Hawkins, Claude) (Entered: 07/11/2017)",response
arwd;;5:16-cr-50008,"INDICTMENT as to Horacio Bautista (1) count(s) 1, 2-4, 5, 6, 7. (rg) (Additional attachment(s) added on 1/30/2017: # 1 Unredacted Indictment) (jn). (Entered: 01/29/2016)",indictment
azd;;2:17-cv-02528,"ORDER that this action is DISMISSED, with prejudice. IT IS FURTHER ORDERED directing the Clerk of Court to terminate this action in its entirety. Signed by Judge Diane J Humetewa on 12/13/2017. (LFIG) (Entered: 12/13/2017)",case dismissed|dismiss with prejudice|order|settlement resolution
azd;;2:17-cv-00582,"BILL OF COSTS with Supporting Affidavit by Gallagher Bassett Services Incorporated. (Attachments: # 1 Affidavit Affidavit with supporting invoices)(Ayers, Deanne) (Entered: 10/10/2018)",
azd;;2:17-cv-04129,"RESPONSE in Opposition re: 20 MOTION to Dismiss Counterclaims MOTION for a More Definite Statement MOTION to Compel Arbitration filed by Paul Bruno, GP Meeting & Events Incorporated, PB Company Incorporated. (Heins, Janet) (Entered: 01/11/2018)",response
azd;;2:17-cv-00826,"Filing fee paid, receipt number 0970-14030587. This case has been assigned to the Honorable John J Tuchi. All future pleadings or documents should bear the correct case number: CV-17-00826-PHX-JJT. Notice of Availability of Magistrate Judge to Exercise Jurisdiction form attached. (DXD) (Entered: 03/20/2017)",
azd;;2:16-cv-04126,"AMENDED COMPLAINT against Shanda Adams, Unknown Balkman, Carl Birkhead, Unknown Bonner, Department of Justice, Haley-Moore Trust, Internal Revenue Service, Rick Dane Moore, Theodore Roberts, Two houses, Unknown Virgin filed by John Priestley, Jr. (LAD) (52 pages) (Entered: 02/27/2017)",complaint
azd;;2:16-cv-03061,Prisoner Trust Fund Account Statement by Paul E Taylor. (3 pages) (EJA) (Entered: 09/12/2016),
azd;;2:16-cv-00876,ORDER that motions pursuant to Fed. R. Civ. P. 12(b) are discouraged if the defect can be cured by filing an amended pleading. The parties must meet and confer prior to the filing of such motions to determine whether it can be avoided. FURTHER ORDERED that Plaintiff serve a copy of this Order upon Defendants and file a notice of service. See attached Order for complete details. Signed by Judge Steven P. Logan on 3/31/16. (CLB) (Entered: 03/31/2016),order
azd;;3:17-cv-08252,ORDER granting Plaintiffs' 2 Application to Proceed In Forma Pauperis. Plaintiff shall be responsible for service by waiver or of the summons and complaint. Signed by Judge G Murray Snow on 11/22/2017.(LFIG) (Entered: 11/22/2017),order
azd;;2:17-cr-01135,CONSENT OF DEFENDANT Ricardo Hernandez-Sotomayor for Guilty Plea Hearing before a United States Magistrate Judge. (ESL) (Entered: 08/22/2017),bilateral
azd;;2:16-cr-01428,"DOJ CONFLICT MEMO. No probable conflict re: Magistrate Judge John Z. Boyle, Judge Diane J. Humetewa, Judge Steven P. Logan, and Judge John J. Tuchi. Filed by USA as to Juan Manuel Torres-Zuniga. (RMW) [2:16-mj-07395-BSB] (Entered: 11/08/2016)",
azd;;4:17-cr-01944,"NOTICE OF CHANGE OF PLEA HEARING set for Monday, November 19th, 2018 at 10:30 a.m. by Mark Lutcavich DeWitt. (Storts, Brick) (Entered: 10/17/2018)",notice|notice of hearing
cacd;;2:17-cv-00410,21 DAY Summons Issued re Complaint (Attorney Civil Case Opening) 1 as to Defendant Diony Martins. (et) (Entered: 01/19/2017),summons
cacd;;2:17-cv-04151,"NOTICE of Related Case(s) filed by Plaintiff LA Wave, LLC. Related Case(s): 2:17-CV-04173-AB-PLA (Heaney, John) (Entered: 06/15/2017)",notice|notice of related case
cacd;;2:17-cv-00113,"PROOF OF SERVICE filed by Defendant Pfizer Inc, served on January 9, 2017. (Searcy, Marshall) (Entered: 01/11/2017)",
cacd;;2:17-cv-03781,NOTICE OF ASSIGNMENT to District Judge Fernando M. Olguin and Magistrate Judge Alexander F. MacKinnon. (jtil) (Entered: 05/23/2017),notice|notice of assignment
cacd;;5:16-cv-01870,"Joint STIPULATION to Dismiss Case pursuant to with prejudice filed by Planitiff Marco Saavedra.(Grace, Phyl) (Entered: 03/03/2017)",bilateral|dismiss with prejudice|settlement resolution|stipulation|stipulation of dismissal
cacd;;5:17-cv-02344,"NOTICE OF MOTION AND MOTION to Supplement Joint Discovery Motion re Motion Hearing, 36 filed by Plaintiff Maria Dolores Velasquez. (Attachments: # 1 Exhibit Arellano Case - prior order, # 2 Exhibit MMZ case - prior order)(Guizar, Humberto) (Entered: 03/05/2019)",motion|motion to supplement|notice|notice of motion
cacd;;2:16-cv-07115,REPORT AND RECOMMENDATION issued by Magistrate Judge Douglas F. McCormick Re Complaint (Prisoner Civil Rights) 1 . IT IS RECOMMENDED that the District Court issue an Order: (1) approving and accepting this Report and Recommendation; and (2) directing that Judgment be entered dismissing this action without prejudice. (nbo) (Entered: 11/01/2016),report
cacd;;2:16-cv-01714,"PETITION for Writ of Habeas Corpus by a Person In Federal Custody (28:2241) Case assigned to Judge Ronald S.W. Lew and referred to Magistrate Judge Alexander F. MacKinnon.(Filing fee $ 5: FEE PAID), filed by petitioner Marcos Antonio Lomeli. (Attachments: # 1 Part 1 2241, # 2 Part 2 2241) (ghap) (Entered: 03/16/2016)",petition|petition for habeas corpus
cacd;;2:16-cv-02386,"Request for Clerk to Issue Warrant for Seizure on Complaint (Attorney Civil Case Opening) 1 filed by Plaintiff UNITED STATES OF AMERICA. (Kortum, Frank) (Entered: 04/07/2016)",
cacd;;2:16-cv-08232,TEXT ONLY ENTRY by Chambers of Judge Fernando M. Olguin. This matter has been assigned to District Judge Fernando M. Olguin. All pleadings filed in this matter should contain the case number and the assigned judges' initials to ensure proper routing of documents. The Court refers counsel to the Court's Initial Standing Order found on the Court's Website under Judge Olguin's Procedures and Schedules. Please read this Order carefully.THERE IS NO PDF DOCUMENT ASSOCIATED WITH THIS ENTRY. (vdr) TEXT ONLY ENTRY (Entered: 11/15/2016),
cacd;;2:17-cv-08848,NOTICE TO PARTIES OF COURT-DIRECTED ADR PROGRAM filed. (car) (Entered: 12/08/2017),notice
cacd;;2:17-cv-06704,"PETITION for Attorney Fees filed by plaintiff Victoria Stahl. (Attachments: # 1 Exhibit 1, # 2 Exhibit 2, # 3 Exhibit 3) (Safa, Cyrus) (Entered: 01/08/2019)",petition
cacd;;2:16-cv-08101,"ORDER ON STIPULATION 35 by Judge Otis D. Wright, II: (1) Plaintiff shall file a First Amended Complaint on or before July 21, 2017; (2) Defendant shall have up to and including August 21, 2017, in which to answer or otherwise respond to the First Amended Complaint; and (3) Defendant shall file the Certified Administrative Record with the Court on or before September 21, 2017. (lc) (Entered: 07/05/2017)",order
cacd;;2:16-cr-00170,NOTICE OF JURISDICTION/TREATY TRANSFER-IN: The Court has approved the Supervised Release transfer-in as to Supervised Releasee Moses Vanpelt. This matter has been randomly assigned to District Judge Fernando M. Olguin for all further proceedings. (jp) (Entered: 03/23/2016),notice|transfer
cacd;;2:17-cr-00753,"JUDGMENT AND COMMITMENT by Judge Christina A. Snyder as to Defendant Marco Eddy De Leon (1) Count(s) 2, Bureau of Prison 18 Months. Supervised Release term of 3 years under US Probation and General Order 05-02. Pay the United States Special Assessment 100.00. All fines waived. Count(s) 1, Government's motion, all remaining count(s)/underlying indictment/information, ordered dismissed. Defendant advised of right of appeal. (lc) (Entered: 05/01/2018)",judgment|sentence|sentencing judgment
caed;;2:17-cv-02646,"STIPULATION and PROPOSED ORDER for Protective Order for Standard Litigation by Glacial Lake Cranberries, Inc.. (Escovedo, Joshua) (Entered: 03/19/2018)",bilateral|order|proposed|stipulation
caed;;2:16-cv-01606,"ORDER, FINDINGS and RECOMMENDATIONS signed by Magistrate Judge Allison Claire on 7/20/16 ORDERING that the Clerk of the Court shall randomly assign a United States District Judge to this action. It is RECOMMENDED that this action be dismissed without prejudice. Referred to Judge Troy L. Nunley; Objections to F&R due within 14 days. (Dillon, M) (Entered: 07/20/2016)",order
caed;;1:17-cv-00127,"PETITION for WRIT of HABEAS CORPUS against Respondent by Manuel Herrera-Garcia.(Hellings, J) (Entered: 01/27/2017)",petition|petition for habeas corpus
caed;;1:18-cv-00120,"REQUEST for Sealing Doc. No. 101 by Juan C. Avalos, Alberto Gianini, Brittany Hagman, Romeo Palma, Linda Quinteros, Juan Trevino, Christopher Ward re 101 Informal Discovery Dispute Letter Brief filed by Alberto Gianini, Romeo Palma, Juan Trevino, Brittany Hagman, Linda Quinteros, Christopher Ward, Juan C. Avalos. (Dion-Kindem, Peter) (Entered: 12/04/2019)",
cand;;3:16-cv-01777,"STIPULATION AND ORDER OF DISMISSAL OF COUNTERCLAIM WITH PREJUDICE re 85 filed by DeviceBits, LLC, James Ramey. Signed by Judge Edward M. Chen on 11/2/17. (bpfS, COURT STAFF) (Filed on 11/2/2017) (Entered: 11/02/2017)",bilateral|case dismissed|dismiss with prejudice|order|party resolution|settlement resolution|stipulation|stipulation of dismissal
cand;;5:17-cv-06130,"Statement re 50 Order Joint Statement re Notice of Settlement by Technology Credit Corporation. (Clark, Katherine) (Filed on 1/30/2019) (Entered: 01/30/2019)",settlement resolution
cand;;3:16-cv-02005,"NOTICE of Appearance by attorney MARK S. WIERMAN on behalf of Defendant PFIZER, INC. (WIERMAN, MARK) (Entered: 12/01/2015)",notice|notice of appearance
cand;;5:16-cv-01115,"NOTICE of Substitution of Counsel Alyssa M. Staudinger, attorney of record for Defendant Experian Information Solutions, Inc., will be substituted as counsel and replaced by Katherine A. Neben, by Katherine Anne Neben for Defendant Experian Information Solutions, Inc. (Neben, Katherine) (Filed on 4/12/2016) Modified on 5/10/2016 (cv, COURT STAFF). (Entered: 04/12/2016)",notice
cand;;3:16-cv-05243,"Electronic filing errors. Incorrect event used. [err101]Corrected by Clerk's Office. No further action is necessary. Re: 13 MOTION to Substitute Attorney of Counsel filed by David Long Correct event is Notice of Substitution of Counsel Located at: Civil Events > Other Filings > Notices Cases assigned to Judge Alsup must bear the initials ""WHA "" after the case number. Counsel need not re-file document, but should reference ""WHA"" after the case number in future filings. See [12 ] Reassignment Order. This is a text only docket entry. There is no document associated with this entry. [err400] (alsS, COURT STAFF) (Filed on 3/2/2017) (Entered: 03/02/2017)",
cand;;4:16-cv-00793,"STIPULATION AND ORDER TO SET BRIEFING SCHEDULE ON DEFENDANTS' MOTION TO DISMISS AS MODIFIED BY THE COURT by Hon. Phyllis J. Hamilton granting 42 Stipulation.(napS, COURT STAFF) (Filed on 10/12/2016) Modified on 10/12/2016 (napS, COURT STAFF). (Entered: 10/12/2016)",bilateral|order|stipulation
casd;;3:16-cv-02382,"JOINT MOTION for Extension of Time to File Answer by Tricorp Construction, Inc.. (Attachments: # 1 Proof of Service)(Stuart, Alexander) QC Mail RE: incorrect signature format on proof of service (lrf). (Entered: 05/25/2017)",bilateral|motion|motion for time extension
casd;;3:17-cv-00035,"NOTICE United States' Notice of Consent to Dismissal Without Prejudice to the United States by United States of America re 15 MOTION to Dismiss Civil Action (Attachments: # 1 Proof of Service)(Keehn, Douglas) (jpp). (Entered: 09/10/2018)",bilateral|dismiss without prejudice|notice|notice of dismissal|settlement resolution
casd;;3:16-cv-00876,"CERTIFICATE OF SERVICE by Ashford University re 5 Notice of Appearance (Barron, Leslie) (Entered: 07/20/2016)",
casd;;3:16-cv-02054,ORDER granting 13 Motion to adjourn Case Management Conference. The Court resets the Telephonic Case Management Conference set for 10/12/2016 at 10:am to 11/21/2016 at 10:00am. Signed by Magistrate Judge Barbara Lynn Major on 10/11/2016. (jpp) (Entered: 10/12/2016),order
casd;;3:16-cv-00692,"ORDER by Judge Battaglia, Motions Submitted 26 MOTION to Dismiss Plaintiff's First Amended Complaint. This motion is suitable for determination on the papers and without oral argument in accordance with Civil Local Rule 7.1.d.1. Accordingly, no appearances are required and the motion will be deemed submitted as of this date.(no document attached) (sc) (Entered: 03/13/2017)",order
cod;;1:17-cv-03016,"Corrected TRANSCRIPT of TRANSCRIPT OF PROCEEDINGS held on 04/30/2018 before Magistrate Judge Tafoya. Pages: 1-53. Prepared by: AB Court Reporting & Video, Inc.. NOTICE - REDACTION OF TRANSCRIPTS: Within seven calendar days of this filing, each party shall inform the Court, by filing a Notice of Intent to Redact, of the party's intent to redact personal identifiers from the electronic transcript of the court proceeding. If a Notice of Intent to Redact is not filed within the allotted time, this transcript will be made electronically available after 90 days. Please see the Notice of Electronic Availability of Transcripts document at www.cod.uscourts.gov. Transcript may only be viewed at the court public terminal or purchased through the Court Reporter/Transcriber prior to the 90 day deadline for electronic posting on PACER. (AB Court Reporting & Video, Inc., ) (Entered: 03/02/2020)",
cod;;1:17-cv-00701,"Unopposed MOTION to Reset the Final Pretrial Conference by Plaintiff Office Depot, Inc.. (Attachments: # 1 Proposed Order (PDF Only) Order Granting Plaintiff Office Depot, Inc., Uncontested Motion to Reschedule the Final Pretrial Conference)(Stageman, Daniel) (Entered: 05/17/2018)",motion|motion to reset|unopposed
cod;;1:17-cv-00541,"JUDGMENT re: 12 Order of Dismissal by Clerk on 07/27/2017. (angar, ) (Entered: 07/27/2017)",judgment
cod;;1:16-cv-00665,"ORDER DIRECTING APPLICANT TO FILE AMENDED PLEADING by Magistrate Judge Gordon P. Gallagher on 3/23/16. (dkals, ) (Entered: 03/23/2016)",order
cod;;1:16-cv-02795,"NOTICE of Change of Address/Contact Information by Elizabeth Mary Froehlke (Froehlke, Elizabeth) (Entered: 02/07/2017)",notice|notice of change of address
cod;;1:17-cv-00436,"SCHEDULING ORDER by Magistrate Judge Michael J. Watanabe on 6/15/2017. (slibi, ) (Entered: 06/15/2017)",order
cod;;1:16-cv-03052,"ORDER granting 43 Stipulation to Dismiss the Case with Prejudice and JointMotion to Reopen Case for Limited Purpose of Entering an Order of Dismissal with Prejudice. ORDERED by Judge Raymond P. Moore on 1/7/2019. (cthom, ) (Entered: 01/07/2019)",case dismissed|dismiss with prejudice|order|party resolution|settlement order|settlement resolution
cod;;1:16-cv-00563,"COURTROOM MINUTES/MINUTE ORDER for proceedings held before Magistrate Judge Craig B. Shaffer: Scheduling Conference held on 5/31/2016. Discovery due by 12/30/2016. Dispositive Motions due by 1/30/2017. Telephone Status Conference set for 8/17/2016 08:30 AM in Courtroom A 402 before Magistrate Judge Craig B. Shaffer. Parties participating in the hearing shall initiate a conference call among themselves and call the court (303.844.2117) at the scheduled time. FTR: Courtroom A-402. (amont, ) (Entered: 05/31/2016)",minute entry|order
cod;;1:16-cv-02162,"AMENDED COMPLAINT on consent against Troy Calabrese, TNT Landscaping Services, Inc, filed by Antonio Gonzalez.(Gastman, Alexander) (Entered: 11/22/2016)",complaint
cod;;1:17-cr-00487,"MOTION for Leave to Restrict by USA as to Isaac Rafael Jorge Romero, Jose Alejandro Osorio Echegaray. (Surratt, Andrea) (Entered: 12/03/2018)",motion|motion for leave|motion to restrict
ctd;;3:16-cv-00469,"JUDICIAL PROCEEDINGS SURVEY: The following link to the confidential survey requires you to log into CM/ECF for SECURITY purposes. Once in CM/ECF you will be prompted for the case number. Although you are receiving this survey through CM/ECF, it is hosted on an independent website called SurveyMonkey. Once in SurveyMonkey, the survey is located in a secure account. The survey is not docketed and it is not sent directly to the judge. To ensure anonymity, completed surveys are held up to 90 days before they are sent to the judge for review. We hope you will take this opportunity to participate, please click on this link: https://ecf.ctd.uscourts.gov/cgi-bin/Dispatch.pl?survey (Lewis, D) (Entered: 03/09/2017)",
ctd;;3:17-cv-01247,"MOTION for Judgment on the Pleadings by American Casualty Co of Reading, Pennsylvania.Responses due by 10/6/2017 (Meehan, William) (Entered: 09/15/2017)",motion|motion for judgment|motion for judgment on the pleadings
ctd;;3:16-cv-01889,"MOTION for Robert M. Frost, Jr. to Withdraw as Attorney by Pawn King Inc. (Frost, Robert) (Entered: 02/15/2017)",motion|motion to withdraw
ctd;;3:17-cv-02121,"COUNTERCLAIM Answer and Affirmative Defenses against Seth Greenwald, filed by Peter Napolitano, Sean Miller.(Bohonnon, Kenneth) (Entered: 10/30/2018)",answer
ctd;;3:16-cv-01674,"SCHEDULING ORDER: Telephonic Status Conference set for 1/11/2017 10:00 AM before Judge Victor A. Bolden to discuss parties' 26(f) report. Once all parties are on the line, please call chambers at (203) 579-5562. Signed by Judge Victor A. Bolden on 12/8/2016.(Ghosh, S.) (Entered: 12/08/2016)",order
ctd;;3:16-cv-00203,"NOTICE TO COUNSEL: Counsel initiating or removing this action is responsible for serving all parties with attached documents and copies of 3 Order on Pretrial Deadlines, 1 Complaint filed by Cambridge Mutual Fire Insurance Company, 5 Protective Order, 4 Electronic Filing Order. Signed by Clerk on 2/9/16. (Sundie, T) (Entered: 02/09/2016)",notice
ctd;;3:17-cv-01074,"JUDGMENT entered in favor of the Defendants.For Appeal Forms please go to the following website: http://www.ctd.uscourts.gov/forms/all-forms/appeals_forms Signed by Clerk on 12/7/2017.(Bozek, M.) (Entered: 12/08/2017)",judgment
ctd;;3:16-cv-01204,"Notice re: Assignment of Social Security Appeals. Signed by Clerk on 7/18/2016.(Anastasio, F.) (Entered: 07/18/2016)",notice|notice of appeal|notice of assignment
ctd;;3:17-cv-00250,"First MOTION to Seal Amended Complaint and Proposed Summons by Malibu Media, LLC. (Attachments: # 1 Exhibit A - Amended Complaint, # 2 Exhibit Exhibit A to Amended Complaint, # 3 Exhibit Exhibit B to Amended Complaint)(Conway, Kevin) (Entered: 10/20/2017)",motion|motion to seal
ctd;;3:16-cv-01844,"Notice re: Assignment of Social Security Appeals Signed by Clerk on 11/9/2016.(Anastasio, F.) (Entered: 11/10/2016)",notice|notice of appeal|notice of assignment
ctd;;3:17-cv-00934,"ORDER granting 17 MOTION for Extension of Time. Signed by Judge Stefan R. Underhill on 10/17/2017. (Jamieson, K) (Entered: 10/17/2017)",order
